Timestamp,Temperature_C,Voltage_Hex,RAM_Usage_Percent,Disk_Usage_Percent,CUPS_Status,Queue_Jobs
2026-04-17 12:30:01,55.8,0x0,47.18,22,active,0
2026-04-17 12:35:01,55.8,0x0,47.62,22,active,0
2026-04-17 12:40:01,56.4,0x0,47.29,22,active,0
2026-04-17 12:45:01,55.8,0x0,47.40,22,active,0
2026-04-17 12:50:01,56.9,0x0,47.51,22,active,0
2026-04-17 12:55:01,56.4,0x0,46.96,22,active,0
2026-04-17 13:00:01,56.4,0x0,47.07,22,active,0
2026-04-17 13:05:01,56.4,0x0,47.51,22,active,0
2026-04-17 13:10:01,56.9,0x0,47.51,22,active,0
2026-04-17 13:15:01,56.4,0x0,47.29,22,active,0
2026-04-17 13:20:01,56.4,0x0,47.29,22,active,0
2026-04-17 13:25:02,56.4,0x0,47.51,22,active,0
2026-04-17 13:30:01,56.4,0x0,47.96,22,active,0
2026-04-17 13:35:01,56.4,0x0,47.51,22,active,0
